playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
markani01,2020,1,ATL,NL,37,,130,15,33,15,0,1,15,0,1,10,23,0,1,0,0,5,
markepa01,2019,2,PIT,NL,15,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
markepa01,2019,1,SEA,AL,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
markepa01,2022,1,OAK,AL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marksju01,2016,1,TBA,AL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marksju01,2017,1,TBA,AL,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marksma01,2015,1,ATL,NL,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marksma01,2016,1,ATL,NL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marloca01,2023,1,SEA,AL,34,34,88,14,21,3,2,3,11,4,2,12,33,0,0,0,0,1,
marloca01,2024,1,SEA,AL,8,8,8,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0
marmojo01,2020,1,SEA,AL,35,,107,12,22,4,0,6,18,0,1,7,32,0,1,0,0,2,
marmojo01,2021,1,SEA,AL,41,,106,11,17,4,0,4,12,0,0,15,39,0,0,0,1,0,
marqubr01,2020,1,CHN,NL,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marquge01,2016,1,COL,NL,6,,6,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,
marquge01,2017,1,COL,NL,29,,45,4,8,2,0,0,5,0,0,0,18,0,0,8,0,1,
marquge01,2018,1,COL,NL,33,,60,4,18,0,0,1,5,0,0,0,11,0,0,5,0,1,
marquge01,2019,1,COL,NL,29,,48,5,11,4,1,0,11,0,0,0,14,0,0,10,0,1,
marquge01,2020,1,COL,NL,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marquge01,2021,1,COL,NL,32,,53,5,14,5,0,1,9,0,0,0,13,0,0,7,0,0,
