yearkey,leaguekey,teamkey,parkkey,spanfirst,spanlast,games,openings,attendance
2015,AL,NYA,NYC21,2015-04-06,2015-10-01,81,80,3193795
2016,AL,NYA,NYC21,2016-04-05,2016-10-02,81,81,3063405
2017,AL,NYA,NYC21,2017-04-10,2017-10-01,81,80,3188116
2018,AL,NYA,NYC21,2018-04-03,2018-09-23,81,81,3482855
2019,AL,NYA,NYC21,2019-03-28,2019-09-22,81,79,3304404
2020,AL,NYA,NYC21,2020-07-31,2020-09-27,31,0,0
2021,AL,NYA,NYC21,2021-04-01,2021-10-03,81,80,1959854
2022,AL,NYA,NYC21,2022-04-08,2022-10-02,81,78,3136207
2023,AL,NYA,NYC21,2023-03-30,2023-09-25,81,80,3269016
2024,AL,NYA,NYC21,2024-04-05,2024-09-29,81,79,3309838
2015,NL,NYN,NYC20,2015-04-13,2015-10-04,81,81,2569753
2016,NL,NYN,NYC20,2016-04-08,2016-09-25,81,80,2789602
2017,NL,NYN,NYC20,2017-04-03,2017-09-27,81,80,2460622
2018,NL,NYN,NYC20,2018-03-29,2018-09-30,81,79,2224995
2019,NL,NYN,NYC20,2019-04-04,2019-09-29,81,80,2442532
2020,NL,NYN,NYC20,2020-07-24,2020-09-23,29,0,0
2021,NL,NYN,NYC20,2021-04-08,2021-09-30,81,73,1511926
2022,NL,NYN,NYC20,2022-04-15,2022-10-05,81,77,2564737
2023,NL,NYN,NYC20,2023-04-07,2023-10-01,81,78,2573555
2024,NL,NYN,NYC20,2024-03-29,2024-09-22,80,78,2275417
2024,NL,NYN,LON01,2024-06-08,2024-06-08,1,1,53882
2015,AL,OAK,OAK01,2015-04-06,2015-09-27,81,81,1768175
2016,AL,OAK,OAK01,2016-04-04,2016-09-25,81,81,1521506
2017,AL,OAK,OAK01,2017-04-03,2017-09-27,81,80,1475721
2018,AL,OAK,OAK01,2018-03-29,2018-09-23,81,81,1573616
2019,AL,OAK,OAK01,2019-03-28,2019-09-22,79,79,1578496
2019,AL,OAK,TOK01,2019-03-20,2019-03-21,2,2,92238
2020,AL,OAK,OAK01,2020-07-24,2020-09-27,32,0,0
