playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
adamewi01,2020,TBA,AL,ALWC1,SS,2,2,54,3,7,0,0,0,,,
adamewi01,2020,TBA,AL,WS,SS,6,6,150,3,8,0,0,0,,,
adamewi01,2021,MIL,NL,NLDS1,SS,4,4,102,3,8,0,0,0,,,
adamewi01,2023,MIL,NL,NLWC1,SS,2,2,54,1,4,0,1,0,,,
adamewi01,2024,MIL,NL,NLWC1,SS,3,3,81,1,6,0,1,,,,
adamja01,2022,TBA,AL,ALWC1,P,1,0,6,0,0,0,0,0,,,
adamja01,2024,SDN,NL,NLDS2,P,3,0,10,0,0,0,0,,,,
adamja01,2024,SDN,NL,NLWC2,P,2,0,6,1,0,0,0,,,,
adamsau02,2020,SDN,NL,NLDS1,P,2,0,2,0,0,0,0,0,,,
adamsau02,2020,SDN,NL,NLWC2,P,2,0,3,0,0,0,0,0,,,
adriaeh01,2017,MIN,AL,ALWC,LF,1,0,3,0,0,0,0,0,,,
aguilje01,2018,MIL,NL,NLCS,1B,7,7,176,46,1,0,5,0,,,
aguilje01,2018,MIL,NL,NLDS1,1B,3,3,68,20,3,0,0,0,,,
aguilje01,2020,MIA,NL,NLDS2,1B,1,1,27,5,0,0,0,0,,,
akinke01,2024,BAL,AL,ALWC2,P,1,0,2,0,0,0,0,,,,
akiyash01,2020,CIN,NL,NLWC4,LF,1,1,21,3,0,0,0,0,,,
akiyash01,2020,CIN,NL,NLWC4,CF,1,0,3,0,0,0,0,0,,,
alberha01,2015,TEX,AL,ALDS2,3B,3,2,90,4,10,1,2,0,,,
alberma01,2017,WAS,NL,NLDS2,P,2,0,7,0,0,0,0,0,,,
albieoz01,2018,ATL,NL,NLDS2,2B,4,4,102,7,12,0,3,0,,,
albieoz01,2019,ATL,NL,NLDS2,2B,5,5,137,4,14,2,2,0,,,
albieoz01,2020,ATL,NL,NLCS,2B,7,7,183,9,16,1,4,0,,,
albieoz01,2020,ATL,NL,NLDS2,2B,3,3,81,5,6,0,0,0,,,
albieoz01,2020,ATL,NL,NLWC4,2B,2,2,66,4,6,0,0,0,,,
albieoz01,2021,ATL,NL,NLCS,2B,6,6,156,10,13,0,4,0,,,
albieoz01,2021,ATL,NL,NLDS1,2B,4,4,105,5,6,0,2,0,,,
albieoz01,2021,ATL,NL,WS,2B,6,6,159,9,18,1,2,0,,,
albieoz01,2023,ATL,NL,NLDS1,2B,4,4,102,8,6,0,3,0,,,
albieoz01,2024,ATL,NL,NLWC2,2B,2,2,48,3,4,0,2,,,,
alcansa01,2020,MIA,NL,NLDS2,P,1,1,18,0,0,0,0,0,,,
alcansa01,2020,MIA,NL,NLWC3,P,1,1,20,1,0,0,0,0,,,
alexasc01,2018,LAN,NL,NLDS2,P,1,0,3,0,0,0,0,0,,,
alexasc01,2018,LAN,NL,WS,P,3,0,4,0,1,1,0,0,,,
alfarjo01,2020,MIA,NL,NLDS2,C,2,0,18,7,0,0,0,0,0,,
allenco01,2016,CLE,AL,ALCS,P,4,0,14,0,1,0,0,0,,,
allenco01,2016,CLE,AL,ALDS2,P,2,0,9,0,0,0,0,0,,,
